Unnamed: 0,name,company,year,Price,kms_driven,fuel_type
0,Hyundai Santro Xing,Hyundai,20070101,80000,45000,Petrol
1,Mahindra Jeep CL550,Mahindra,20060101,425000,40,Diesel
3,Hyundai Grand i10,Hyundai,20140101,325000,28000,Petrol
4,Ford EcoSport Titanium,Ford,20140101,575000,36000,Diesel
6,Ford Figo,Ford,20120101,175000,41000,Diesel
7,Hyundai Eon,Hyundai,20130101,190000,25000,Petrol
8,Ford EcoSport Ambiente,Ford,20160101,830000,24530,Diesel
9,Maruti Suzuki Alto,Maruti,20150101,250000,60000,Petrol
10,Skoda Fabia Classic,Skoda,20100101,182000,60000,Petrol
11,Maruti Suzuki Stingray,Maruti,20150101,315000,30000,Petrol
12,Hyundai Elite i20,Hyundai,20140101,415000,32000,Petrol
13,Mahindra Scorpio SLE,Mahindra,20150101,320000,48660,Diesel
16,Audi A8,Audi,20170101,1000000,4000,Petrol
17,Audi Q7,Audi,20140101,500000,16934,Diesel
18,Mahindra Scorpio S10,Mahindra,20160101,350000,43000,Diesel
19,Maruti Suzuki Alto,Maruti,20140101,160000,35550,Petrol
21,Mahindra Scorpio S10,Mahindra,20160101,310000,39522,Diesel
22,Maruti Suzuki Alto,Maruti,20150101,75000,39000,Petrol
23,Hyundai i20 Sportz,Hyundai,20120101,100000,55000,Petrol
26,Maruti Suzuki Alto,Maruti,20170101,190000,72000,Petrol
27,Maruti Suzuki Vitara,Maruti,20160101,290000,15975,Diesel
28,Maruti Suzuki Alto,Maruti,20080101,95000,70000,Petrol
29,Mahindra Bolero DI,Mahindra,20170101,180000,23452,Diesel
30,Maruti Suzuki Swift,Maruti,20140101,385000,35522,Diesel
31,Mahindra Scorpio S10,Mahindra,20150101,250000,48508,Diesel
32,Maruti Suzuki Swift,Maruti,20170101,180000,15487,Petrol
33,Maruti Suzuki Wagon,Maruti,20130101,105000,39000,Petrol
34,Maruti Suzuki Wagon,Maruti,20130101,105000,39000,Petrol
35,Toyota Innova 2.0,Toyota,20120101,650000,82000,Diesel
36,Renault Lodgy 85,Renault,20180101,689999,20000,Diesel
37,Skoda Yeti Ambition,Skoda,20120101,448000,68000,Diesel
38,Maruti Suzuki Baleno,Maruti,20170101,549000,32000,Diesel
39,Renault Duster 110,Renault,20120101,501000,38000,Diesel
40,Renault Duster 85,Renault,20130101,489999,27000,Diesel
41,Honda City 1.5,Honda,20110101,280000,33000,Petrol
43,Maruti Suzuki Dzire,Maruti,20130101,349999,46000,Diesel
44,Honda Amaze,Honda,20130101,284999,46000,Diesel
45,Honda Amaze 1.5,Honda,20150101,345000,36000,Diesel
46,Honda City,Honda,20150101,499999,55000,Petrol
47,Datsun Redi GO,Datsun,20170101,235000,16000,Petrol
48,Maruti Suzuki SX4,Maruti,20100101,249999,36000,Petrol
49,Mitsubishi Pajero Sport,Mitsubishi,20150101,1475000,47000,Diesel
56,Mahindra Scorpio S10,Mahindra,20150101,395000,35000,Diesel
57,Maruti Suzuki Swift,Maruti,20170101,220000,30874,Petrol
58,Honda City ZX,Honda,20170101,170000,15000,Diesel
59,Maruti Suzuki Wagon,Maruti,20130101,85000,29685,Petrol
62,Tata Indigo eCS,Tata,20170101,200000,130000,Diesel
65,Mahindra Scorpio SLE,Mahindra,20120101,570000,19000,Diesel
66,Volkswagen Polo Highline,Volkswagen,20140101,315000,60000,Petrol
70,Chevrolet Spark LS,Chevrolet,20100101,110000,41000,Petrol
71,Renault Duster 110PS,Renault,20120101,501000,35000,Diesel
72,Honda City,Honda,20150101,448999,54000,Petrol
73,Mini Cooper S,Mini,20130101,1891111,13000,Petrol
75,Skoda Fabia 1.2L,Skoda,20110101,159500,38200,Diesel
